no;Kanji;onyomi-romaji;onyomi-kana;kunyomi-romanji;kunyomi-kana;translation
246;寄;ki;キ;yo(ru);よ(る);draw near, gather
247;込;empty;空;ko(mu);こ(む);crowded, mixture
248;顔;gan;ガン;kao;かお;face, expression
249;類;rui;ルイ;tagu(i);たぐ(い);sort, kind, variety, class, genus
250;余;yo;ヨ;ama(ru);あま(る);too much, surplus
251;王;ou;オウ;empty;空;king, rule
252;返;hen;ヘン;kae(su);かえ(す);return, answer
253;妻;sai;サイ;tsuma;つま;wife, spouse
254;背;hai;ハイ;se, sei;せ、せい;stature, height, back
255;熱;netsu;ネツ;atsu(i);あつ(い);heat, fever, passion
256;宿;shuku;シュク;yado;やど;inn, lodging
257;薬;yaku;ヤク;kusuri;くすり;medicine, chemical
258;険;ken;ケン;kewa(shii);けわ(しい);precipitous, inaccessible place
259;頼;rai;ライ;tano(mu), tayo(ru);たの(む)、 たよ(る);trust, request
260;覚;kaku;カク;obo(eru), sa(masu);おぼ(える)、 さ(ます);memorize, learn, remember, awake
261;船;sen;セン;fune, funa;ふね、ふな;ship, boat
262;途;to;ト;michi;みち;route, way, road
263;許;kyo;キョ;yuru(su);ゆる(す);permit, approve
264;抜;batsu;バツ;nu(ku);ぬ(く);slip out, extract, pull out, remove
265;便;ben, bin;ベン、 ビン;tayo(ri);たよ(り);convenience, facility
266;留;ryuu, ru;リュウ、 ル;to(maru), todo(meru);と(まる)、 とど(める);detain, fasten, halt, stop
267;罪;zai;ザイ;tsumi;つみ;guilt, sin, crime
268;努;do;ド;tsuto(meru);つと(める);toil, diligent, as much as possible
269;精;sei, shou;セイ、ショウ;shira(geru);しら(げる);refined, ghost, fairy, energy
270;散;san;サン;chi(ru), bara(keru);ち(る)、ばら(ける);scatter, disperse
271;静;sei, jou;セイ、ジョウ;shizu(ka);しず(か);quiet
272;婚;kon;コン;empty;空;marriage
273;喜;ki;キ;yoroko(bu);よろこ(ぶ);rejoice, take pleasure in
274;浮;fu;フ;u(kabu);う(かぶ);float, rise to surface
275;絶;zetsu;ゼツ;ta(eru);た(える);discontinue, unparalleled
276;幸;kou;コウ;saiwa(i), sara, shiawa(se);さいわ(い)、さち、 しあわ(せ);happiness, blessing, fortune
277;押;ou;オウ;o(su);お(す);push
278;倒;tou;トウ;tao(reru);たお(れる);overthrow, fall, collapse
279;等;tou;トウ;hito(shii), nado;ひと(しい)、など;etc., and so forth
280;老;rou;ロウ;o(iru), fu(keru);お(いる)、ふ(ける);old
281;曲;kyoku;キョク;ma(garu);ま(がる);bend, music, melody
282;払;empty;空;hara(u);はら(う);pay
283;庭;tei;テイ;niwa;にわ;courtyard, garden, yard
284;徒;to;ト;itazura, ada;いたずら、 あだ;on foot, junior, vanity, futility, uselessness
285;勤;kin, gon;キン、ゴン;tsuto(meru);つと(める);diligence, employed, serve
286;遅;chi;チ;oku(reru), oso(i);おく(れる)、 おそ(い);slow, late, back, later
287;居;kyo, ko;キョ、コ;i(ru), o(ru);い(る)、お(る);reside, to be, exist
288;雑;zatsu, zou;ザツ、ゾウ;maji(ru);まじ(る);miscellaneous
289;招;shou;ショウ;mane(ku);まね(く);invite, summon, engage
290;困;kon;コン;koma(ru);こま(る);quandary, become distressed
291;欠;ketsu, ken;ケツ、ケン;ka(keru);か(ける);lack, gap
292;更;kou;コウ;sara(ni), fu(keru);さら(に)、ふ(ける);renew, renovate, again
293;刻;koku;コク;kiza(mu);きざ(む);engrave, cut fine, chop
294;賛;san;サン;empty;空;approve, praise
295;抱;hou;ホウ;da(ku), ida(ku), kaka(eru);だ(く)、いだ(く)、かか(える);embrace, hug
296;犯;han;ハン;oka(su);おか(す);crime, sin, offense
297;恐;kyou;キョウ;oso(reru), kowa(i);おそ(れる)、こわ(い);fear, dread
298;息;musu, soku;ムス、ソク;iki;いき;breath, son, interest (on money)
299;遠;en, on;エン;too(i);とお(い);distant, far
300;戻;rei;レイ;modo(ru);もど(る);re-, return, revert
301;願;gan;ガン;nega(u);ねが(う);petition, request, wish
302;絵;kai, e;カイ、エ;empty;空;picture, drawing
303;越;etsu;エツ;ko(su);こ(す);surpass, cross over, move to, exceed
304;欲;yoku;ヨク;ho(shii);ほ(しい);longing, greed, passion
305;痛;tsuu;ツウ;ita(i);いた(い);pain, hurt, damage, bruise
306;笑;shou;ショウ;wara(u), e(mu);わら(う)、え(む);laugh
307;互;go;ゴ;taga(i), katami(ni);たが(い)、かたみ(に);mutually, reciprocally, together
308;束;soku;ソク;taba, tsuka;たば、つか;bundle, manage
309;似;ji, ne;ジ、ね;ni(ru);に(る);becoming, resemble, imitate
310;列;retsu, re;レツ、レ;empty;空;file, row, column
311;探;tan;タン;sagu(ru), saga(su);さぐ(る)、さが(す);search, look for
312;逃;tou;トウ;ni(geru), noga(su);に(げる)、のが(す);escape, flee
313;遊;yuu;ユウ;aso(bu);あそ(ぶ);play
314;迷;mei;メイ;mayo(u);まよ(う);astray, be perplexed, in doubt, lost
315;夢;mu;ム;yume;ゆめ;dream, vision
316;君;kun;クン;kimi;きみ;you, male name suffix
317;閉;hei;ヘイ;to(jiru), shi(meru);と(じる)、し(める);closed, shut
318;緒;sho;ショ;o;お;beginning, end, cord, strap
319;折;setsu, shaku;セツ、シャク;o(ru), ori;お(る)、おり;fold, break, fracture
320;草;sou;ソウ;kusa;くさ;grass, weeds, herbs
321;暮;bo;ボ;ku(rasu);く(らす);evening, livelihood
322;酒;shu;シュ;sake, saka-;さけ、さか-;sake, alcohol
323;悲;hi;ヒ;kana(shii);かな(しい);grieve, sad
324;晴;sei;セイ;ha(reru);は(れる);clear up
325;掛;kei;ケイ;ka(keru);か(ける);hang, suspend
326;到;tou;トウ;ita(ru);いた(る);arrival, proceed, reach
327;寝;shin;シン;ne(ru);ね(る);lie down, sleep, rest
328;暗;an;アン;kura(i);くら(い);darkness, disappear, shade, informal
329;盗;tou;トウ;nusu(mu);ぬす(む);steal, rob
330;吸;kyuu;キュウ;su(u);す(う);suck, inhale
331;陽;you;ヨウ;hi;ひ;sunshine, positive
332;御;gyo, go;ギョ、ゴ;on, o;おん、お;honorable
333;歯;shi;シ;ha;は;tooth, cog
334;忘;bou;ボウ;wasu(reru);わす(れる);forget
335;雪;setsu;セツ;yuki;ゆき;snow
336;吹;sui;スイ;fu(ku);ふ(く);blow, breathe, puff
337;娘;jou;ジョウ;musume, ko;むすめ、こ;daughter, girl
338;誤;go;ゴ;ayama(ru);あやま(る);mistake
339;洗;sen;セン;ara(u);あら(う);wash
340;慣;kan;カン;na(reru);な(れる);accustomed, get used to
341;礼;rei, rai;レイ、ライ;empty;空;salute, bow, ceremony, thanks
342;窓;sou;ソウ;mado;まど;window, pane
343;昔;seki, shaku;セキ、シャク;mukashi;むかし;once upon a time, old times
344;貧;hin, bin;ヒン、ビン;mazu(shii);まず(しい);poverty, poor
345;怒;do;ド;ika(ru), oko(ru);いか(る)、 おこ(る);angry, be offended
346;泳;ei;エイ;oyo(gu);およ(ぐ);swim
347;祖;so;ソ;empty;空;ancestor, pioneer, founder
348;杯;hai;ハイ;sakazuki;さかずき;glass, cup
349;疲;hi;ヒ;tsuka(reru);つか(れる);exhausted, tire
350;皆;kai;カイ;mina, minna;みな、 みんな;all, everyone, everybody
351;鳴;mei;メイ;na(ku), na(ru);な(く)、な(る);chirp, cry, bark
352;腹;fuku;フク;hara;はら;abdomen, belly, stomach
353;煙;en;エン;kemu(ru), kemuri;けむ(る)、けむり;smoke
354;眠;min;ミン;nemu(ru);ねむ(る);sleep
355;怖;fu;フ;kowa(i), o(jiru);こわ(い)、お(じる);dreadful, fearful
356;耳;ji;ジ;mimi;みみ;ear
357;頂;chou;チョウ;itada(ku);いただ(く);receive, top, summit, peak
358;箱;sou;ソウ;hako;はこ;box, chest
359;晩;ban;バン;empty;空;nightfall, night
360;寒;kan;カン;samu(i);さむ(い);cold
361;髪;hatsu;ハツ;kami;かみ;hair (on the head)
362;忙;bou, mou;ボウ、モウ;isoga(shii);いそが(しい);busy, occupied
363;才;sai;サイ;empty;空;genius, years old
364;靴;ka;カ;kutsu;くつ;shoes
365;恥;chi;チ;haji, ha(zukashii);はじ、は(ずかしい);shame, dishonor
366;偶;guu;グウ;tama;たま;accidentally, even number
367;偉;i;イ;era(i);えら(い);admirable, greatness
368;猫;byou;ビョウ;neko;ねこ;cat
369;幾;ki;キ;iku(tsu);いく(つ);how many, how much, some
370;誰;sui;スイ;dare;だれ;who, someone, somebody
